log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity,n_labels,degenerate
Real4,NE-NEPr,CollaborationCase,Multiclass classification,random_forest,1700,True,f1_macro,0.6452098512056667,0.0082243611709855,0.0061728395061728,5,,,18,False
Real4,NE-NPaA,Participant,Multiclass classification,random_forest,1700,True,f1_macro,0.8593717938250929,0.0170875249880743,0.2307692307692307,5,,,3,False
Real4,NE-NEPa,Participant,Multiclass classification,random_forest,1700,True,f1_macro,0.6452098512056667,0.0082243611709854,0.0061728395061728,5,,,18,False
Real4,NE-NPaM,Participant,Multiclass classification,random_forest,1499,True,f1_macro,1.0,0.0,0.2552471604799173,5,,,3,False
Real4,NE-NMPa,Message,Multiclass classification,random_forest,1499,True,f1_macro,1.0,0.0,0.1379034827053406,5,Zoo,,4,False
Real4,NE-NMPr,Message,Multiclass classification,random_forest,1600,True,f1_macro,0.9964693761792862,0.0028873012075368,0.0657439355079839,5,,,8,False
Real4,NV-PrT,CollaborationCase,Regression (time),random_forest,1700,True,mae,7.620003671565004,0.4089576349699266,19.43431,5,,,1686,False
Real4,NV-PaT,OrchestrationCase,Regression (time),random_forest,1700,True,mae,6.785181219588566,0.1914236660503382,18.996355294117645,5,Zoo,,1483,False
Real4,NV-TNE,CollaborationCase,Regression (time),random_forest,1700,True,mae,2.2862726293846647,0.0189361045680362,2.1347105882352944,5,,,1529,False
Real4,NV-TNM,Message,Regression (time),random_forest,1499,True,mae,4.579982512516226,0.3180638923864896,8.176764751393534,5,,,1458,False
Real4,NV-NMPr,Message,Count regression,random_forest,1700,True,mae,0.0003441176470588,0.0006882352941176,1.7558823529411764,5,,,9,False
Real4,NV-NMPa,Message,Count regression,random_forest,1700,True,mae,0.0,0.0,0.9594117647058824,5,Zoo,,5,False
Real4,OB-P,Participant,Binary classification,random_forest,1700,True,f1_macro,0.9985984871905852,0.0028030256188297,0.46875,5,Zoo,,2,False
Real4,OB-M,Message,Binary classification,random_forest,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department,2,False
