log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Real4,NE-NPaA,Participant,Multiclass classification,random_forest,1700,True,f1_macro,0.8539089017793471,0.006172059670334641,0.23076923076923075,5,,
Real4,NE-NEPa,Participant,Multiclass classification,random_forest,1700,True,f1_macro,0.6445704997746551,0.009770997308277346,0.006172839506172839,5,,
Real4,NE-NPaM,Participant,Multiclass classification,random_forest,1499,True,f1_macro,1.0,0.0,0.2552407547505862,5,,
Real4,NE-NMPa,OrchestrationCase,Multiclass classification,random_forest,1499,True,f1_macro,1.0,0.0,0.1379111791579229,5,Zoo,
Real4,NE-NMPr,CollaborationCase,Multiclass classification,random_forest,1600,True,f1_macro,0.998780487804878,0.0024390243902439046,0.06574749669947269,5,,
Real4,NV-PrT,CollaborationCase,Regression (time),random_forest,1700,True,mae,7.596510112177002,0.8085000224708704,19.395287647058822,5,,
Real4,NV-PaT,OrchestrationCase,Regression (time),random_forest,1700,True,mae,6.730784662084508,0.5441042703468959,18.973931764705885,5,Zoo,
Real4,NV-TNE,CollaborationCase,Regression (time),random_forest,1700,True,mae,2.288161503512621,0.06648279436582484,2.131434705882353,5,,
Real4,NV-TNM,Message,Regression (time),random_forest,1499,True,mae,4.666871542803564,0.5067569842941211,8.170685676700113,5,,
Real4,NV-NMPr,Message,Count regression,random_forest,1700,True,mae,0.0003470588235294118,0.0006941176470588236,1.7558823529411764,5,,
Real4,NV-NMPa,Message,Count regression,random_forest,1700,True,mae,0.0,0.0,0.9594117647058823,5,Zoo,
Real4,OB-P,OrchestrationCase,Binary classification,random_forest,1700,True,f1_macro,0.9985984871905851,0.0028030256188297468,0.46875,5,Zoo,
Real4,OB-M,Message,Binary classification,random_forest,1700,True,f1_macro,1.0,0.0,0.46875,5,,Send information to the ZooClub department
