log,task,anchor,problem_type,predictor,samples,ran_end_to_end,metric_name,metric_mean,metric_sd,baseline_mean,folds,participant,obm_activity
Real4,NE-NEPr,CollaborationCase,Multiclass classification,lstm_torch,1700,True,f1_macro,0.577332391393664,0.01143602269499071,0.006172839506172839,5,,
Real4,NE-NPaA,Participant,Multiclass classification,lstm_torch,1700,True,f1_macro,0.8918296065746162,0.017638280565306072,0.23076923076923075,5,,
Real4,NE-NEPa,Participant,Multiclass classification,lstm_torch,1700,True,f1_macro,0.5561997197847991,0.013106073331679598,0.006172839506172839,5,,
Real4,NE-NPaM,Participant,Multiclass classification,lstm_torch,1499,True,f1_macro,0.9610486373196832,0.0052431797949584755,0.2552407547505862,5,,
Real4,NE-NMPa,OrchestrationCase,Multiclass classification,lstm_torch,1499,True,f1_macro,0.8952099484222671,0.018043157677950006,0.1379111791579229,5,Zoo,
Real4,NE-NMPr,CollaborationCase,Multiclass classification,lstm_torch,1600,True,f1_macro,0.8728123665806539,0.018751201580711956,0.06574749669947269,5,,
Real4,NV-PrT,CollaborationCase,Regression (time),lstm_torch,1700,True,mae,7.346162061049517,0.9329287626230501,19.395287647058822,5,,
Real4,NV-PaT,OrchestrationCase,Regression (time),lstm_torch,1700,True,mae,6.744102751723484,0.6176993690325578,18.973931764705885,5,Zoo,
Real4,NV-TNE,CollaborationCase,Regression (time),lstm_torch,1700,True,mae,2.0798562274854326,0.1077467569235879,2.131434705882353,5,,
Real4,NV-TNM,Message,Regression (time),lstm_torch,1499,True,mae,5.1381364260491935,0.2668385687382522,8.170685676700113,5,,
Real4,NV-NMPr,Message,Count regression,lstm_torch,1700,True,mae,0.3835333189151852,0.0021511083163919956,1.7558823529411764,5,,
Real4,NV-NMPa,Message,Count regression,lstm_torch,1700,True,mae,0.25168658504231756,0.0015378082773753676,0.9594117647058823,5,Zoo,
Real4,OB-P,OrchestrationCase,Binary classification,lstm_torch,1700,True,f1_macro,0.9971969743811702,0.003432991251040967,0.46875,5,Zoo,
Real4,OB-M,Message,Binary classification,lstm_torch,1700,True,f1_macro,0.8903225806451613,0.08955123790820224,0.46875,5,,Send information to the ZooClub department
