task,check,eval_labels,matches,mismatches,agreement,only_in_reference,only_in_object_centric,examples,log,param,defined,bottom,ill_defined,well_defined
OB-P,equivalence,700,700.0,0.0,1.0,0.0,0.0,[],Artificial1,PartyA,,,,
OB-P,equivalence,700,700.0,0.0,1.0,0.0,0.0,[],Artificial1,PartyC,,,,
OB-M,equivalence,700,700.0,0.0,1.0,0.0,0.0,[],Artificial1,Activity CZ,,,,
OB-M,equivalence,700,700.0,0.0,1.0,0.0,0.0,[],Artificial1,Activity DZ,,,,
X-PaL,internal_consistency,700,,,,,,,Artificial1,PartyA,700.0,0.0,0.0,True
X-PaL,internal_consistency,700,,,,,,,Artificial1,PartyC,700.0,0.0,0.0,True
X-MSt,internal_consistency,700,,,,,,,Artificial1,,329.0,371.0,0.0,True
NE-NEPr,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
NE-NPaA,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
NE-NEPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
NE-NPaM,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
NE-NMPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyA,,,,
NE-NMPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyB,,,,
NE-NMPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyC,,,,
NE-NMPa,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyD,,,,
NE-NMPr,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
NV-PrT,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
NV-PaT,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyA,,,,
NV-PaT,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyB,,,,
NV-PaT,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyC,,,,
NV-PaT,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,PartyD,,,,
NV-TNE,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
NV-TNM,equivalence,2260,2260.0,0.0,1.0,0.0,0.0,[],Artificial5,,,,,
