task,check,eval_labels,matches,mismatches,agreement,exact_agreement,only_in_reference,only_in_object_centric,full_equivalence,examples,log,param
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity B
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity BZ
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity C
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity CZ
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity D
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity DZ
OB-M,equivalence,700,700,0,1.0,1.0,0,0,True,[],Artificial1,Activity ZA
NE-NEPr,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,
NE-NPaA,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,
NE-NEPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,
NE-NPaM,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,send
NE-NPaM,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,receive
NE-NMPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyA
NE-NMPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyB
NE-NMPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyC
NE-NMPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyD
NE-NMPr,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,
NV-PrT,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,
NV-PaT,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyA
NV-PaT,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyB
NV-PaT,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyC
NV-PaT,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyD
NV-TNE,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,
NV-TNM,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,send
NV-TNM,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,receive
NV-NMPr,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,
NV-NMPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyA
NV-NMPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyB
NV-NMPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyC
NV-NMPa,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyD
OB-P,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyA
OB-P,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyB
OB-P,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyC
OB-P,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,PartyD
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity A
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity AA
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity B
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity BB
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity BZ
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity C
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity CC
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity CZ
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity D
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity DD
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity DZ
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity E
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity EE
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity F
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity FF
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity G
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity H
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity I
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity J
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity K
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity L
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity M
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity N
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity O
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity ZA
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Activity ZAZ
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Start
OB-M,equivalence,2260,2260,0,1.0,1.0,0,0,True,[],Artificial5,Start2
NE-NEPr,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,
NE-NPaA,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,
NE-NEPa,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,
NE-NPaM,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,send
NE-NPaM,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,receive
NE-NMPa,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Bank
NE-NMPa,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Visitor
NE-NMPa,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Zoo
NE-NMPr,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,
NV-PrT,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,
NV-PaT,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Bank
NV-PaT,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Visitor
NV-PaT,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Zoo
NV-TNE,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,
NV-TNM,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,send
NV-TNM,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,receive
NV-NMPr,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,
NV-NMPa,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Bank
NV-NMPa,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Visitor
NV-NMPa,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Zoo
OB-P,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Bank
OB-P,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Visitor
OB-P,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Zoo
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Card received?
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Change account
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Decide individual or family ticket
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Deliver Zooclub card
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Enter customer data into the system
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Forward information to making department
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Go home
