task,check,eval_labels,matches,mismatches,agreement,exact_agreement,only_in_reference,only_in_object_centric,full_equivalence,examples,log,param
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Mail ZooClub magazine
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Payment confirmed
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Prepare family's information
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Prepare personal information
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Process payment information
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Receive payment request
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Receive visitor information
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Send information to the ZooClub department
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Send payment request
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Send request to billing department
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Wait for card
OB-M,equivalence,1700,1700,0,1.0,1.0,0,0,True,[],Real4,Wait fot payment
